agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,True,ECO09307,False,False,False
False,False,False,True,False,True,False,ECO04776,False,False,False
False,False,False,False,False,False,True,ECO02521,False,False,False
False,False,False,False,False,False,True,ECO12431,False,False,False
False,False,False,False,False,False,True,ECO05814,False,False,False
False,False,False,False,False,False,True,ECO08239,False,False,False
False,False,False,False,False,False,True,ECO04142,False,False,False
False,False,False,False,False,False,True,ECO12064,False,False,False
False,False,False,False,False,False,True,ECO03764,False,False,False
False,False,False,False,False,False,True,ECO04944,False,False,False
False,False,False,True,True,False,False,ECO07603,False,False,False
False,False,False,False,False,False,True,ECO08369,False,False,False
False,False,False,False,False,False,True,ECO02891,False,False,False
False,False,False,True,True,False,False,ECO04195,False,False,False
False,False,False,False,False,False,True,ECO04263,False,False,False
False,False,False,False,False,False,True,ECO07279,False,False,False
False,False,True,False,False,False,False,ECO03260,False,False,False
False,False,False,False,False,False,True,ECO08124,False,False,False
False,False,False,False,False,False,True,ECO07479,False,False,False
False,False,False,False,False,False,True,ECO04216,False,False,False
False,False,False,False,False,False,True,ECO09081,False,False,False
False,False,False,False,False,False,True,ECO04002,False,False,False
False,False,False,False,False,False,False,ECO09746,True,False,True
False,False,False,False,False,False,True,ECO11557,False,False,False
False,False,False,False,False,False,True,ECO04788,False,False,False
False,False,False,False,False,False,True,ECO11995,False,False,False
False,False,False,False,False,False,True,ECO07990,False,False,False
False,False,False,False,False,False,True,ECO12382,False,False,False
False,False,False,False,False,False,True,ECO09637,False,False,False
False,False,False,False,False,False,True,ECO03865,False,False,False
False,False,False,True,True,False,False,ECO05374,False,False,False
False,False,False,False,False,False,True,ECO04506,False,False,False
False,False,False,False,False,False,True,ECO06446,False,False,False
False,False,False,False,False,False,False,ECO00336,True,False,True
False,False,False,False,False,False,True,ECO04080,False,False,False
False,False,False,False,False,False,True,ECO04382,False,False,False
False,False,False,True,False,True,False,ECO04464,False,False,False
False,False,False,False,False,False,True,ECO11445,False,False,False
False,False,False,False,False,False,True,ECO07846,False,False,False
False,False,False,False,False,False,True,ECO07960,False,False,False
False,False,False,False,False,False,False,ECO00758,True,False,True
False,False,False,False,False,False,True,ECO10730,False,False,False
False,False,False,False,False,False,True,ECO10262,False,False,False
False,False,False,False,False,False,True,ECO09016,False,False,False
False,False,False,False,False,False,True,ECO11471,False,False,False
False,False,False,False,False,False,True,ECO06893,False,False,False
False,False,False,False,False,False,True,ECO10334,False,False,False
False,False,False,False,False,False,True,ECO03694,False,False,False
False,False,False,False,False,False,True,ECO03794,False,False,False
False,False,False,True,True,False,False,ECO10489,False,False,False
False,False,False,False,False,False,True,ECO06209,False,False,False
False,False,False,True,False,True,False,ECO09981,False,False,False
False,False,False,False,False,False,True,ECO10530,False,False,False
False,False,False,False,False,False,True,ECO12055,False,False,False
False,False,False,False,False,False,True,ECO09185,False,False,False
False,False,False,False,False,False,True,ECO06002,False,False,False
False,False,False,False,False,False,True,ECO04573,False,False,False
False,False,False,False,False,False,True,ECO10071,False,False,False
False,False,False,False,False,False,True,ECO09819,False,False,False
False,False,False,False,False,False,True,ECO09944,False,False,False
False,False,True,False,False,False,False,ECO06378,False,False,False
False,False,False,False,False,False,True,ECO03970,False,False,False
False,False,False,False,False,False,True,ECO03931,False,False,False
False,False,False,False,False,False,True,ECO08776,False,False,False
False,False,False,False,False,False,True,ECO12291,False,False,False
False,False,False,False,False,False,False,ECO02876,True,False,True
False,False,False,False,False,False,True,ECO02426,False,False,False
False,False,False,False,False,False,True,ECO02819,False,False,False
False,False,False,False,False,False,True,ECO03330,False,False,False
False,False,False,False,False,False,True,ECO05684,False,False,False
False,False,False,False,False,False,True,ECO04748,False,False,False
False,False,False,False,False,False,True,ECO08442,False,False,False
