agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,True,True,False,False,ECO07199,False,False,False
False,False,True,False,False,False,False,ECO03396,False,False,False
False,False,False,False,False,False,True,ECO03187,False,False,False
False,False,False,False,False,False,True,ECO00420,False,False,False
False,False,False,False,False,False,True,ECO05198,False,False,False
False,False,False,False,False,False,True,ECO04033,False,False,False
False,False,True,False,False,False,False,ECO05461,False,False,False
False,False,False,False,False,False,True,ECO05300,False,False,False
False,False,False,False,False,False,True,ECO05355,False,False,False
False,False,False,False,False,False,True,ECO06070,False,False,False
False,False,False,False,False,False,True,ECO09778,False,False,False
False,False,True,False,False,False,False,ECO11902,False,False,False
False,False,False,False,False,False,True,ECO00448,False,False,False
False,False,False,False,False,False,True,ECO09761,False,False,False
False,False,False,False,False,False,True,ECO09050,False,False,False
False,False,False,False,False,False,True,ECO09836,False,False,False
False,False,False,False,False,False,True,ECO09897,False,False,False
False,False,False,False,False,False,True,ECO10320,False,False,False
False,False,False,False,False,False,True,ECO09929,False,False,False
False,False,False,False,False,False,True,ECO09931,False,False,False
False,False,False,False,False,False,True,ECO10304,False,False,False
False,False,False,False,False,False,True,ECO07707,False,False,False
False,False,False,False,False,False,True,ECO07729,False,False,False
False,False,False,False,False,False,True,ECO08124,False,False,False
False,False,False,False,False,False,False,ECO07755,True,True,False
False,False,False,False,False,False,True,ECO10413,False,False,False
False,False,False,False,False,False,True,ECO10435,False,False,False
False,False,False,False,False,False,True,ECO10613,False,False,False
False,False,False,False,False,False,True,ECO10683,False,False,False
False,False,False,False,False,False,True,ECO06570,False,False,False
False,False,False,False,False,False,True,ECO06977,False,False,False
False,False,True,False,False,False,False,ECO04911,False,False,False
False,False,False,False,False,False,False,ECO06801,True,False,True
False,False,False,False,False,False,True,ECO04995,False,False,False
False,False,False,False,False,False,True,ECO04996,False,False,False
False,False,False,False,False,False,True,ECO09748,False,False,False
False,False,False,False,False,False,True,ECO09857,False,False,False
False,False,False,False,False,False,True,ECO10696,False,False,False
False,False,False,False,False,False,True,ECO09628,False,False,False
False,False,False,False,False,False,True,ECO00860,False,False,False
False,False,False,False,False,False,True,ECO06954,False,False,False
False,False,False,False,False,False,True,ECO03362,False,False,False
False,False,False,False,False,False,True,ECO09990,False,False,False
False,False,False,False,False,False,True,ECO09370,False,False,False
False,False,False,False,False,False,False,ECO05304,True,True,True
False,False,False,False,False,False,True,ECO05408,False,False,False
False,False,False,False,False,False,False,ECO05440,True,False,True
False,False,False,False,False,False,True,ECO05452,False,False,False
False,False,False,True,False,True,False,ECO11529,False,False,False
False,False,False,False,False,False,True,ECO10326,False,False,False
False,False,False,False,False,False,True,ECO05741,False,False,False
False,False,False,False,False,False,True,ECO11771,False,False,False
False,False,False,False,False,False,True,ECO10786,False,False,False
False,False,False,False,False,False,True,ECO07878,False,False,False
False,False,False,False,False,False,True,ECO03330,False,False,False
False,False,False,False,False,False,True,ECO10334,False,False,False
False,False,False,False,False,False,True,ECO00027,False,False,False
False,False,False,False,False,False,True,ECO07763,False,False,False
False,False,False,False,False,False,False,ECO07794,True,True,True
False,False,False,False,False,False,True,ECO08589,False,False,False
False,False,False,False,False,False,True,ECO08904,False,False,False
False,False,False,False,False,False,True,ECO07416,False,False,False
False,False,True,False,False,False,False,ECO05009,False,False,False
False,False,False,False,False,False,True,ECO09298,False,False,False
False,False,False,False,False,False,True,ECO04713,False,False,False
False,False,False,False,False,False,True,ECO09428,False,False,False
False,False,False,False,False,False,True,ECO09450,False,False,False
False,False,False,False,False,False,True,ECO05365,False,False,False
False,False,False,False,False,False,True,ECO05341,False,False,False
False,False,False,False,False,False,True,ECO09486,False,False,False
