 	ra	dec
 	155.471526	0.295482696
 	155.5737962	0.010365953
 	155.5858911	3.961663547
 	155.6003977	1.19881379
 	155.6012392	3.997313673
 	155.7791352	1.006142203
 	155.982619	1.033427506
 	156.0069676	0.621499552
 	156.0115983	0.207833237
 	156.0318718	0.141982494
 	156.0590018	0.147841162
 	156.0849814	4.019050833
 	156.1490032	1.10984476
 	156.2210527	3.846691648
 	156.3132286	0.892687069
 	156.3323159	0.636262801
 	156.3658919	0.883658472
 	156.3793862	0.381222771
 	156.4252148	0.763038815
 	156.5365843	4.373026371
 	156.5880666	0.684955489
 	156.6616887	0.983487088
 	156.6809288	1.006148555
 	156.837748	0.422363552
 	156.8404895	1.277449286
 	156.8541703	1.241783222
 	156.872955	1.24678259
 	156.873686	1.254642617
 	156.8776684	2.768252481
 	156.8896495	4.466703815
 	156.919231	1.437376964
 	156.9208905	1.200823063
 	156.9316716	1.193958286
 	156.9605734	2.119057518
 	157.0656992	4.406556348
 	157.1206441	1.249912349
 	157.1557242	1.30433523
 	157.1688975	1.348602148
 	157.2081123	4.960572459
 	157.2384232	2.18576432
 	157.4045909	0.951159588
 	157.948684	2.226646826
 	157.9854301	3.081778387
 	158.1120811	2.55486663
 	158.1159894	3.914082118
 	158.2064431	2.777219891
 	158.5094058	1.311377764
 	158.8374128	3.558427099
 	158.8545135	3.294476273
 	158.8843157	1.448726512
 	158.931866	0.008613521
 	159.0086279	0.989121997
 	159.1600183	1.024601831
 	159.4380737	0.477367193
 	159.4660309	2.388958519
 	159.4706893	4.813226812
 	159.5092665	0.526738253
 	159.5294309	4.894517232
 	159.5678388	0.119753062
 	159.5705424	1.096789429
 	159.8515974	2.444244376
 	159.8849012	2.187962105
 	160.0399485	0.070160359
 	160.1680577	0.375537305
 	160.2553422	0.632518358
 	160.3258775	1.348213099
 	160.4725555	0.794099176
 	160.5561988	0.774773919
 	160.6143176	2.761373267
 	160.6866022	0.149162426
 	160.7098225	0.879966378
 	160.8870983	1.197305297
 	160.9124788	4.970605256
 	160.9930359	1.935726661
 	161.06939	2.78783026
 	161.0888677	2.793308476
 	161.1667362	2.259090882
 	161.2023859	3.298321466
 	161.281737	3.674659841
 	161.320893	1.467510752
 	161.3423367	1.985383513
 	161.3440251	1.124041832
 	161.442388	1.99737277
 	161.456564	2.089624069
 	161.4699993	1.649215842
 	161.4836102	2.587135791
 	161.4938632	2.83252565
 	161.5588955	2.556224592
 	161.642866	1.774475123
 	161.661846	3.24386268
 	161.6948311	3.161784231
 	161.9344032	0.871902821
 	161.9774328	0.812544488
 	162.0792191	0.840835439
 	162.3820267	4.007246129
 	162.5717347	3.512545589
 	162.6023971	4.993077018
 	162.68759	3.513527183
 	162.8473711	2.218329998
 	162.906267	2.094962067
 	162.9329009	3.99786297
 	162.9690033	0.554377518
 	163.1371077	3.019206669
 	163.2231669	4.506264361
 	163.2403916	4.624119877
 	163.2658127	4.631858658
 	163.3582802	4.504060785
 	163.5302048	4.94016371
 	163.6994294	2.947964305
 	163.8995371	4.377631886
 	163.9153159	4.368874625
 	163.9695313	4.465274906
 	164.0107663	0.662214048
 	164.5676331	4.583679586
 	164.5745889	4.660676385
 	164.6281871	4.631132821
 	164.8309888	0.302529013
