name,e_bv_sfd,spectofiber
ECO08673,0.009269306,0.7751049
ECO08801,0.01003646,0.8169385
ECO00554,0.009332105,0.8058711
ECO06161,0.01225622,0.7508141
ECO06158,0.008237164,0.738611
ECO11659,0.009584216,0.7612553
ECO06909,0.01020173,0.7462287
ECO01932,0.01046345,0.7919039
ECO12251,0.01189709,0.7631873
ECO08490,0.02640045,0.753571
ECO08575,0.0204649,0.8269719
ECO07479,0.03755856,0.875179
ECO13624,0.03222714,0.7328581
ECO07489,0.03651708,0.7855959
ECO03973,0.02658904,0.7387474
ECO10147,0.04503679,0.7374555
ECO10720,0.1025901,0.7631549
ECO07427,0.01708569,0.9264603
ECO10181,0.03160193,0.7460274
ECO01632,0.03344582,0.7444294
ECO07587,0.04188688,0.7707209
ECO06978,0.01721845,0.8186353
ECO09344,0.02052532,0.7540646
ECO00477,0.01727735,0.7363435
ECO07895,0.02895937,0.7788172
ECO05571,0.01535933,0.7279959
ECO13351,0.02760845,0.7757708
ECO01256,0.0313126,0.9062523
ECO09794,0.008456957,0.7576789
ECO09471,0.008363362,0.761975
ECO11463,0.01288568,0.7503299
ECO09687,0.01656828,0.7612551
ECO09993,0.01722822,0.7622798
ECO06547,0.008717671,0.7953923
ECO06591,0.02089371,0.7756375
ECO04925,0.03839184,0.7903725
ECO11143,0.02646784,0.7346589
ECO08077,0.02991889,0.7859794
ECO04281,0.02588447,0.7859188
ECO04942,0.02673958,0.746928
ECO05418,0.03712308,0.8361576
ECO07707,0.05235283,0.7150036
ECO10435,0.02787017,0.7265515
ECO07748,0.03121948,0.7349495
ECO01061,0.04189349,0.7601855
ECO13480,0.06325915,0.7649179
ECO13488,0.06190478,0.7289664
ECO06957,0.02119683,0.753615
ECO00417,0.01509355,0.7652334
ECO03483,0.03997284,0.7186734
ECO07015,0.0340307,0.7546168
ECO07771,0.05778477,0.7819516
ECO09714,0.02823858,0.7504408
ECO04675,0.01687549,0.7731688
ECO08999,0.01193764,0.8114926
ECO01629,0.01471009,0.7676415
ECO08472,0.05092381,0.7305027
ECO09054,0.02450045,0.7812407
ECO12964,0.01178696,0.7597576
ECO00575,0.01613836,0.7736552
ECO05265,0.01972335,0.7560999
ECO09178,0.01416839,0.7270045
ECO03800,0.01750776,0.7361202
ECO08668,0.034318,0.8356604
ECO09362,0.01453787,0.8183583
ECO06565,0.01769329,4.20E+07
ECO00873,0.0163286,0.7722192
ECO01089,0.03730358,0.8303007
ECO04932,0.03931855,0.727336
ECO06302,0.03445372,0.7846978
ECO10906,0.03459547,0.8120559
ECO09538,0.0133675,0.703539
