	#x	Wavelength	A_lambda/E(B-V)
1591	1.286504567	7773	1.653787418
1592	1.28600823	7776	1.65284038
1593	1.285512277	7779	1.651894073
1594	1.285016705	7782	1.650948495
1595	1.284521516	7785	1.650003646
1596	1.284026708	7788	1.649059525
1597	1.283532281	7791	1.64811613
1598	1.283038235	7794	1.647173463
1599	1.282544568	7797	1.64623152
1600	1.282051282	7800	1.645290302
1601	1.281558375	7803	1.644349808
1602	1.281065847	7806	1.643410037
1603	1.280573697	7809	1.642470988
1604	1.280081925	7812	1.64153266
1605	1.279590531	7815	1.640595052
1606	1.279099514	7818	1.639658164
1607	1.278608874	7821	1.638721995
1608	1.278118609	7824	1.637786544
1609	1.277628721	7827	1.63685181
1610	1.277139208	7830	1.635917792
1611	1.27665007	7833	1.634984489
1612	1.276161307	7836	1.634051901
1613	1.275672917	7839	1.633120027
1614	1.275184902	7842	1.632188866
1615	1.274697259	7845	1.631258417
1616	1.27420999	7848	1.63032868
1617	1.273723093	7851	1.629399653
1618	1.273236567	7854	1.628471335
1619	1.272750414	7857	1.627543727
1620	1.272264631	7860	1.626616827
1621	1.271779219	7863	1.625690634
1622	1.271294177	7866	1.624765147
1623	1.270809506	7869	1.623840366
1624	1.270325203	7872	1.622916291
1625	1.26984127	7875	1.621992919
1626	1.269357705	7878	1.62107025
1627	1.268874508	7881	1.620148284
1628	1.268391679	7884	1.619227019
1629	1.267909218	7887	1.618306455
1630	1.267427123	7890	1.617386592
1631	1.266945395	7893	1.616467427
1632	1.266464032	7896	1.615548961
1633	1.265983036	7899	1.614631193
1634	1.265502404	7902	1.613714122
1635	1.265022138	7905	1.612797746
1636	1.264542236	7908	1.611882066
1637	1.264062698	7911	1.610967081
1638	1.263583523	7914	1.610052789
1639	1.263104711	7917	1.60913919
1640	1.262626263	7920	1.608226283
1641	1.262148176	7923	1.607314067
1642	1.261670452	7926	1.606402542
1643	1.261193089	7929	1.605491707
1644	1.260716087	7932	1.604581561
1645	1.260239445	7935	1.603672103
1646	1.259763165	7938	1.602763332
1647	1.259287243	7941	1.601855248
1648	1.258811682	7944	1.60094785
1649	1.258336479	7947	1.600041137
1650	1.257861635	7950	1.599135108
1651	1.25738715	7953	1.598229763
1652	1.256913022	7956	1.597325101
1653	1.256439251	7959	1.59642112
1654	1.255965838	7962	1.595517821
1655	1.255492781	7965	1.594615202
1656	1.25502008	7968	1.593713263
1657	1.254547736	7971	1.592812003
1658	1.254075746	7974	1.591911421
1659	1.253604112	7977	1.591011516
1660	1.253132832	7980	1.590112288
1661	1.252661907	7983	1.589213736
1662	1.252191335	7986	1.588315859
1663	1.251721117	7989	1.587418656
1664	1.251251251	7992	1.586522127
1665	1.250781739	7995	1.585626271
1666	1.250312578	7998	1.584731087
