name,econame,mw3w,mw4w,sfr_nuv,sfr_nuv_wisew,sfr_nuv_err,sfr_nuv_wisew_err
"SJUSHR5114","ECO07325",0.00000,0.00000,0.1191347664884617,0.1191347664884617,0.01282709513757909,0.01282709513757909
"SJUSHR5115","ECO07326",0.00000,0.00000,1.476607760877114,1.476607760877114,0.7167225489736234,0.7167225489736234
"SJUSHR5116","ECO07327",0.00000,0.00000,0.06189429491555682,0.06189429491555682,0.01797421249991080,0.01797421249991080
"SJUSHR5117","ECO07328",0.00000,0.00000,0.007081264896068629,0.007081264896068629,0.001368984689542495,0.001368984689542495
"SJUSHR5118","ECO07329",0.00000,0.00000,1.206804774896028,1.206804774896028,0.2055176998183578,0.2055176998183578
"SJUSHR5119","ECO07330",0.00000,0.00000,0.2274934541886040,0.2274934541886040,0.03601804116375663,0.03601804116375663
"SJUSHR512","ECO07331",0.00000,0.00000,0.6415929667599494,0.6415929667599494,0.1422955645125552,0.1422955645125552
"SJUSHR5120","ECO07332",0.00000,0.00000,0.02672249564480681,0.02672249564480681,0.01774547329847424,0.01774547329847424
"SJUSHR5121","ECO07333",0.00000,0.00000,0.7986535428620765,0.7986535428620765,0.07091053387343603,0.07091053387343603
"SJUSHR5122","ECO07334",0.00000,0.00000,0.01888965256511296,0.01888965256511296,0.01320160114037952,0.01320160114037952
"SJUSHR5123","ECO07335",0.00000,0.00000,0.04043387098904397,0.04043387098904397,0.02803125346778408,0.02803125346778408
"SJUSHR5124","ECO07336",0.00000,0.00000,0.3495001187729933,0.3495001187729933,0.2422950406850981,0.2422950406850981
"SJUSHR5125","ECO07337",0.00000,0.00000,0.1270690997656313,0.1270690997656313,0.05628206440063977,0.05628206440063977
"SJUSHR5126","ECO07338",0.00000,0.00000,0.1237092276357952,0.1237092276357952,0.008739221933123861,0.008739221933123861
"SJUSHR5127","ECO07339",0.00000,0.00000,0.2509695343429640,0.2509695343429640,0.09615893449673271,0.09615893449673271
"SJUSHR5128","ECO07340",0.00000,0.00000,0.1005600747785947,0.1005600747785947,0.01130880096204112,0.01130880096204112
"SJUSHR5129","ECO07341",10.3244,7.72482,0.6378292653539509,0.7146437981387277,0.06444457657491100,0.06456772655273341
"SJUSHR513","ECO07342",0.00000,0.00000,0.03050706326852622,0.03050706326852622,0.01689252854455551,0.01689252854455551
"SJUSHR5130","ECO07343",9.34056,7.66243,0.9532187222749614,1.116749408193343,0.1894607737262554,0.1900231487310084
"SJUSHR5131","ECO07344",0.00000,0.00000,0.07355439384737179,0.07355439384737179,0.03224711612600401,0.03224711612600401
"SJUSHR5132","ECO07345",0.00000,0.00000,0.3824674584646645,0.3824674584646645,0.1628522201885155,0.1628522201885155
"SJUSHR5133","ECO07346",0.00000,0.00000,0.5400304655346285,0.5400304655346285,0.3919899105119735,0.3919899105119735
"SJUSHR5134","ECO07347",0.00000,0.00000,0.4448928064610541,0.4448928064610541,0.4096791157889055,0.4096791157889055
"SJUSHR5135","ECO07348",0.00000,0.00000,0.1786179462862544,0.1786179462862544,0.01288137274315743,0.01288137274315743
"SJUSHR5136","ECO07349",0.00000,0.00000,0.6204713619808209,0.6204713619808209,0.2497916053110248,0.2497916053110248
"SJUSHR5137","ECO07350",0.00000,0.00000,0.2879869914345097,0.2879869914345097,0.02861999924322712,0.02861999924322712
"SJUSHR5138","ECO07351",0.00000,0.00000,0.08251605389798203,0.08251605389798203,0.01889360727444970,0.01889360727444970
"SJUSHR5139","ECO07352",0.00000,0.00000,0.1606898676194909,0.1606898676194909,0.03298935813214820,0.03298935813214820
"SJUSHR514","ECO07353",0.00000,0.00000,0.5684849072307332,0.5684849072307332,0.05225462916700838,0.05225462916700838
"SJUSHR5140","ECO07354",10.5072,10.3654,0.3232800463378613,0.3232800463378613,0.02140834545346828,0.02140834545346828
"SJUSHR5141","ECO07355",10.7640,9.36991,0.3417072827462548,0.3417072827462548,0.02376164288979387,0.02376164288979387
"SJUSHR5142","ECO07356",0.00000,0.00000,0.1881807644291194,0.1881807644291194,0.1304411889104715,0.1304411889104715
"SJUSHR5143","ECO07357",0.00000,0.00000,0.1564682159717977,0.1564682159717977,0.01031844934351452,0.01031844934351452
"SJUSHR5144","ECO07358",0.00000,0.00000,0.02067959288854646,0.02067959288854646,0.01613436859765282,0.01613436859765282
"SJUSHR5145","ECO07359",0.00000,0.00000,0.1777137269380707,0.1777137269380707,0.01180134560677170,0.01180134560677170
"SJUSHR5146","ECO07360",0.00000,0.00000,0.4798606884394219,0.4798606884394219,0.09413910675853886,0.09413910675853886
"SJUSHR5147","ECO07361",0.00000,0.00000,0.08149109249936316,0.08149109249936316,0.05651717250487900,0.05651717250487900
"SJUSHR5149","ECO07362",0.00000,0.00000,0.3138068153208715,0.3138068153208715,0.02502969469757043,0.02502969469757043
"SJUSHR515","ECO07363",0.00000,0.00000,0.1916006244794280,0.1916006244794280,0.03617646068115999,0.03617646068115999
"SJUSHR5150","ECO07364",0.00000,0.00000,0.5311906785831124,0.5311906785831124,0.2516672524332337,0.2516672524332337
"SJUSHR5151","ECO07365",10.7185,8.77210,0.5830575124204999,0.6145819115952138,0.04688144075284831,0.04712230521259175
"SJUSHR5152","ECO07366",0.00000,0.00000,0.03911053597547129,0.03911053597547129,0.02712824509375910,0.02712824509375910
"SJUSHR5153","ECO07367",0.00000,0.00000,0.5137414818534505,0.5137414818534505,0.1329142893553342,0.1329142893553342
"SJUSHR5154","ECO07368",0.00000,0.00000,0.4507663540797164,0.4507663540797164,0.1957115072321478,0.1957115072321478
"SJUSHR5155","ECO07369",0.00000,0.00000,0.2555084827289589,0.2555084827289589,0.02623949653797031,0.02623949653797031
"SJUSHR5156","ECO07370",0.00000,0.00000,0.3095193300725577,0.3095193300725577,0.2145778918074284,0.2145778918074284
"SJUSHR5157","ECO07371",0.00000,0.00000,0.02130072938600247,0.02130072938600247,0.01544578620470506,0.01544578620470506
"SJUSHR5158","ECO07372",0.00000,0.00000,0.1388676860037797,0.1388676860037797,0.07822470977893203,0.07822470977893203
"SJUSHR5159","ECO07373",0.00000,0.00000,0.2948089249463298,0.2948089249463298,0.03358811456788861,0.03358811456788861
"SJUSHR5160","ECO07374",0.00000,0.00000,0.1031478016408046,0.1031478016408046,0.007182192808694927,0.007182192808694927
"SJUSHR5161","ECO07375",0.00000,0.00000,0.2252003294019702,0.2252003294019702,0.1493194907831222,0.1493194907831222
"SJUSHR5162","ECO07376",0.00000,0.00000,0.3664981803209109,0.3664981803209109,0.2110743898393714,0.2110743898393714
"SJUSHR5163","ECO07377",0.00000,0.00000,0.3233186477967466,0.3233186477967466,0.03755096923546199,0.03755096923546199
"SJUSHR5164","ECO07378",0.00000,0.00000,0.1361599633621042,0.1361599633621042,0.01389518958302038,0.01389518958302038
"SJUSHR5165","ECO07379",0.00000,0.00000,0.03646486364611030,0.03646486364611030,0.02529312712366289,0.02529312712366289
"SJUSHR5166","ECO07380",0.00000,0.00000,0.06065972572802204,0.06065972572802204,0.005659592866987658,0.005659592866987658
"SJUSHR5167","ECO07381",0.00000,0.00000,0.6719761214310576,0.6719761214310576,0.08250101828290729,0.08250101828290729
"SJUSHR5168","ECO07382",0.00000,0.00000,0.006571916052526521,0.006571916052526521,0.004572400745349004,0.004572400745349004
"SJUSHR5169","ECO07383",0.00000,0.00000,0.3768418174592109,0.3768418174592109,0.4479810917663389,0.4479810917663389
"SJUSHR517","ECO07384",0.00000,0.00000,1.132763178956521,1.132763178956521,0.4176380001559346,0.4176380001559346
"SJUSHR5170","ECO07385",0.00000,0.00000,0.006661779988441761,0.006661779988441761,0.004617743500981685,0.004617743500981685
"SJUSHR5171","ECO07386",0.00000,0.00000,0.1460314580968064,0.1460314580968064,0.009683986989258691,0.009683986989258691
"SJUSHR5173","ECO07387",0.00000,0.00000,0.006808787940698664,0.006808787940698664,0.002770580773668192,0.002770580773668192
"SJUSHR5174","ECO07388",0.00000,0.00000,0.1943645788473357,0.1943645788473357,0.03202600510225338,0.03202600510225338
"SJUSHR5175","ECO07389",0.00000,0.00000,0.1148204109730856,0.1148204109730856,0.02368876538582471,0.02368876538582471
"SJUSHR5176","ECO07390",0.00000,0.00000,0.09728838216486786,0.09728838216486786,0.06850366096428033,0.06850366096428033
"SJUSHR5177","ECO07391",0.00000,0.00000,0.006268972940208944,0.006268972940208944,0.001017944301827583,0.001017944301827583
"SJUSHR5178","ECO07392",0.00000,0.00000,0.01223229060068297,0.01223229060068297,0.001341821784717479,0.001341821784717479
"SJUSHR5179","ECO07393",0.00000,0.00000,0.008017081729461925,0.008017081729461925,0.005751396754481264,0.005751396754481264
"SJUSHR518","ECO07394",0.00000,0.00000,0.07462556516786527,0.07462556516786527,0.07416250221912835,0.07416250221912835
"SJUSHR5180","ECO07395",0.00000,0.00000,0.2298914773549798,0.2298914773549798,0.05915950847371333,0.05915950847371333
"SJUSHR5181","ECO07396",0.00000,0.00000,0.1044488226861334,0.1044488226861334,0.007301643787025414,0.007301643787025414
"SJUSHR5182","ECO07397",0.00000,0.00000,0.7061202497904553,0.7061202497904553,0.5517656019809863,0.5517656019809863
"SJUSHR5183","ECO07398",0.00000,0.00000,0.01380773427534339,0.01380773427534339,0.009683014498767300,0.009683014498767300
"SJUSHR5184","ECO07399",0.00000,0.00000,0.05364657278436537,0.05364657278436537,0.03718617445408743,0.03718617445408743
"SJUSHR5185","ECO07400",0.00000,0.00000,0.008872069750071524,0.008872069750071524,0.006170277872530217,0.006170277872530217
"SJUSHR5186","ECO07401",0.00000,0.00000,0.1197773499129083,0.1197773499129083,0.008362174246953928,0.008362174246953928
"SJUSHR5187","ECO07402",0.00000,0.00000,0.1010749361972379,0.1010749361972379,0.02978057111370694,0.02978057111370694
"SJUSHR5188","ECO07403",0.00000,0.00000,0.006244670619731827,0.006244670619731827,0.000000000000000,0.000000000000000
"SJUSHR5189","ECO07404",0.00000,0.00000,0.3534858957741933,0.3534858957741933,0.1230988722448789,0.1230988722448789
"SJUSHR519","ECO07405",0.00000,0.00000,0.01491394761911355,0.01491394761911355,0.000000000000000,0.000000000000000
"SJUSHR5190","ECO07406",0.00000,0.00000,0.005806768655704565,0.005806768655704565,0.001490550797893010,0.001490550797893010
"SJUSHR5191","ECO07407",0.00000,0.00000,0.02180094073681325,0.02180094073681325,0.003778941286733785,0.003778941286733785
"SJUSHR5192","ECO07408",0.00000,0.00000,0.2497736293538727,0.2497736293538727,0.2200426436060838,0.2200426436060838
"SJUSHR5193","ECO07409",0.00000,0.00000,1.095302759518040,1.095302759518040,0.3821373218074124,0.3821373218074124
"SJUSHR5194","ECO07410",0.00000,0.00000,0.004233482199153616,0.004233482199153616,0.000000000000000,0.000000000000000
"SJUSHR5195","ECO07411",0.00000,0.00000,1.011758342328879,1.011758342328879,0.1332564225017519,0.1332564225017519
"SJUSHR5196","ECO07412",0.00000,0.00000,0.5454775926092795,0.5454775926092795,0.3781084954130724,0.3781084954130724
"SJUSHR5197","ECO07413",0.00000,0.00000,0.2136763065176957,0.2136763065176957,0.02231745719706325,0.02231745719706325
"SJUSHR5198","ECO07414",0.00000,0.00000,0.7536915004382526,0.7536915004382526,0.1870107224344828,0.1870107224344828
"SJUSHR5199","ECO07415",0.00000,0.00000,0.4140236503424049,0.4140236503424049,0.1102805056113201,0.1102805056113201
"SJUSHR52","ECO07416",9.57481,7.14861,1.316814386841786,1.378909315673232,0.000000000000000,0.002699592778554146
"SJUSHR520","ECO07417",0.00000,0.00000,0.07725814084625930,0.07725814084625930,0.05846996390490326,0.05846996390490326
"SJUSHR5200","ECO07418",0.00000,0.00000,0.009582034214307773,0.009582034214307773,0.006814069389473204,0.006814069389473204
"SJUSHR5201","ECO07419",0.00000,0.00000,0.01211496987277170,0.01211496987277170,0.002920124488073450,0.002920124488073450
"SJUSHR5202","ECO07420",0.00000,0.00000,0.006821430714948802,0.006821430714948802,0.001137180310262109,0.001137180310262109
"SJUSHR5203","ECO07421",11.0608,9.49519,0.1705600569900969,0.1705600569900969,0.000000000000000,0.000000000000000
"SJUSHR5204","ECO07422",0.00000,0.00000,0.1855516494796318,0.1855516494796318,0.9214544799719786,0.9214544799719786
"SJUSHR5205","ECO07423",0.00000,0.00000,0.4357216931787071,0.4357216931787071,0.4912085191230786,0.4912085191230786
"SJUSHR5206","ECO07424",0.00000,0.00000,0.3168384841139398,0.3168384841139398,0.1970068609211340,0.1970068609211340
"SJUSHR5207","ECO07425",0.00000,0.00000,0.007674950410026142,0.007674950410026142,0.0006263031685235727,0.0006263031685235727
"SJUSHR5208","ECO07426",0.00000,0.00000,0.1366533649980198,0.1366533649980198,0.02177417523907606,0.02177417523907606
"SJUSHR5209","ECO07427",0.00000,0.00000,0.2817983216741048,0.2817983216741048,0.02437133414761664,0.02437133414761664
"SJUSHR521","ECO07428",0.00000,0.00000,0.1282505213017960,0.1282505213017960,0.1870123175149149,0.1870123175149149
"SJUSHR5210","ECO07429",0.00000,0.00000,0.02330562907293643,0.02330562907293643,0.009167812071848289,0.009167812071848289
"SJUSHR5211","ECO07430",10.1275,8.88920,0.1180918876511758,0.1675578855564289,0.02675657261923116,0.02816350216800167
"SJUSHR5212","ECO07431",0.00000,0.00000,0.3180681317225705,0.3180681317225705,0.07388232451475263,0.07388232451475263
"SJUSHR5213","ECO07432",0.00000,0.00000,0.1883917906154228,0.1883917906154228,0.1485462800708939,0.1485462800708939
"SJUSHR5214","ECO07433",0.00000,0.00000,0.2808124300328402,0.2808124300328402,0.02009613895978325,0.02009613895978325
"SJUSHR5215","ECO07434",0.00000,0.00000,0.2449180343719335,0.2449180343719335,0.1697697407384276,0.1697697407384276
"SJUSHR5216","ECO13586",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"SJUSHR5217","ECO07435",10.7970,8.57269,0.6265735531114806,0.6265735531114806,0.09308543546200997,0.09308543546200997
"SJUSHR5218","ECO07436",10.1631,7.81873,0.2909031071338047,0.3276961017955931,0.06039174397329687,0.06041590777663491
"SJUSHR5219","ECO07437",0.00000,0.00000,0.01760949220883193,0.01760949220883193,0.01243505213990961,0.01243505213990961
