# YES:  Extinction Coefficients -- Results
#
# Quantities which were not computable
# are assigned a value of -99
#
#
# Reddening Law  = odonnell_94
# The law has been formulated to give R_V = 3.07 for Vega.
#
#
#Wavelength(A)   A_lambda/tau1  A_lambda/E(B-V)
#
 3927.000        4.13087        4.23756
 3930.000        4.12838        4.23501
 3933.000        4.12591        4.23247
 3936.000        4.12344        4.22994
 3939.000        4.12098        4.22742
 3942.000        4.11853        4.22490
 3945.000        4.11608        4.22239
 3948.000        4.11365        4.21989
 3951.000        4.11121        4.21740
 3954.000        4.10879        4.21491
 3957.000        4.10637        4.21243
 3960.000        4.10396        4.20996
 3963.000        4.10156        4.20749
 3966.000        4.09916        4.20503
 3969.000        4.09677        4.20258
 3972.000        4.09438        4.20013
 3975.000        4.09200        4.19769
 3978.000        4.08962        4.19525
 3981.000        4.08725        4.19282
 3984.000        4.08489        4.19039
 3987.000        4.08253        4.18797
 3990.000        4.08017        4.18556
 3993.000        4.07782        4.18315
 3996.000        4.07548        4.18074
 3999.000        4.07314        4.17834
 4002.000        4.07080        4.17595
 4005.000        4.06847        4.17355
 4008.000        4.06614        4.17117
 4011.000        4.06382        4.16878
 4014.000        4.06150        4.16640
 4017.000        4.05919        4.16403
 4020.000        4.05687        4.16166
 4023.000        4.05457        4.15929
 4026.000        4.05226        4.15692
 4029.000        4.04996        4.15456
 4032.000        4.04766        4.15220
 4035.000        4.04536        4.14985
 4038.000        4.04307        4.14750
 4041.000        4.04078        4.14515
 4044.000        4.03849        4.14280
 4047.000        4.03621        4.14046
 4050.000        4.03392        4.13811
 4053.000        4.03164        4.13578
 4056.000        4.02937        4.13344
 4059.000        4.02709        4.13110
 4062.000        4.02481        4.12877
 4065.000        4.02254        4.12644
 4068.000        4.02027        4.12411
 4071.000        4.01800        4.12178
 4074.000        4.01573        4.11945
 4077.000        4.01347        4.11713
 4080.000        4.01120        4.11480
 4083.000        4.00893        4.11248
 4086.000        4.00667        4.11016
 4089.000        4.00441        4.10783
 4092.000        4.00215        4.10551
 4095.000        3.99988        4.10319
 4098.000        3.99762        4.10087
 4101.000        3.99536        4.09856
 4104.000        3.99310        4.09624
 4107.000        3.99084        4.09392
 4110.000        3.98858        4.09160
 4113.000        3.98632        4.08928
 4116.000        3.98406        4.08696
 4119.000        3.98180        4.08465
 4122.000        3.97954        4.08233
 4125.000        3.97728        4.08001
 4128.000        3.97502        4.07769
 4131.000        3.97276        4.07537
 4134.000        3.97050        4.07305
 4137.000        3.96823        4.07073
 4140.000        3.96597        4.06841
 4143.000        3.96371        4.06608
 4146.000        3.96144        4.06376
 4149.000        3.95917        4.06143
 4152.000        3.95691        4.05911
 4155.000        3.95464        4.05678
 4158.000        3.95237        4.05445
 4161.000        3.95010        4.05212
 4164.000        3.94782        4.04979
 4167.000        3.94555        4.04746
 4170.000        3.94327        4.04512
 4173.000        3.94100        4.04279
 4176.000        3.93872        4.04045
 4179.000        3.93644        4.03811
 4182.000        3.93415        4.03577
 4185.000        3.93187        4.03342
 4188.000        3.92958        4.03108
 4191.000        3.92729        4.02873
 4194.000        3.92500        4.02638
 4197.000        3.92271        4.02403
 4200.000        3.92041        4.02167
 4203.000        3.91812        4.01932
 4206.000        3.91582        4.01696
 4209.000        3.91351        4.01459
 4212.000        3.91121        4.01223
 4215.000        3.90890        4.00986
 4218.000        3.90659        4.00749
 4221.000        3.90428        4.00512
 4224.000        3.90196        4.00275
 4227.000        3.89965        4.00037
 4230.000        3.89733        3.99799
 4233.000        3.89500        3.99560
 4236.000        3.89267        3.99322
 4239.000        3.89034        3.99083
 4242.000        3.88801        3.98843
 4245.000        3.88568        3.98604
 4248.000        3.88334        3.98364
 4251.000        3.88100        3.98124
 4254.000        3.87865        3.97883
 4257.000        3.87630        3.97642
 4260.000        3.87395        3.97401
 4263.000        3.87159        3.97159
 4266.000        3.86924        3.96917
 4269.000        3.86687        3.96675
 4272.000        3.86451        3.96432
 4275.000        3.86214        3.96189
 4278.000        3.85977        3.95946
 4281.000        3.85739        3.95702
 4284.000        3.85501        3.95458
 4287.000        3.85263        3.95214
 4290.000        3.85025        3.94969
 4293.000        3.84786        3.94724
 4296.000        3.84546        3.94478
 4299.000        3.84306        3.94232
 4302.000        3.84066        3.93986
 4305.000        3.83826        3.93739
 4308.000        3.83585        3.93492
 4311.000        3.83344        3.93245
 4314.000        3.83102        3.92997
 4317.000        3.82860        3.92749
 4320.000        3.82618        3.92500
 4323.000        3.82375        3.92251
 4326.000        3.82132        3.92002
 4329.000        3.81888        3.91752
 4332.000        3.81644        3.91502
 4335.000        3.81400        3.91251
 4338.000        3.81155        3.91000
 4341.000        3.80910        3.90748
 4344.000        3.80665        3.90496
 4347.000        3.80419        3.90244
 4350.000        3.80172        3.89991
 4353.000        3.79925        3.89738
 4356.000        3.79678        3.89485
 4359.000        3.79431        3.89231
 4362.000        3.79183        3.88977
 4365.000        3.78934        3.88722
 4368.000        3.78686        3.88467
 4371.000        3.78437        3.88211
 4374.000        3.78187        3.87955
 4377.000        3.77937        3.87698
 4380.000        3.77687        3.87442
 4383.000        3.77436        3.87184
 4386.000        3.77184        3.86927
 4389.000        3.76933        3.86668
 4392.000        3.76681        3.86410
 4395.000        3.76428        3.86151
 4398.000        3.76175        3.85891
 4401.000        3.75922        3.85632
 4404.000        3.75669        3.85371
 4407.000        3.75414        3.85111
 4410.000        3.75160        3.84850
 4413.000        3.74905        3.84588
 4416.000        3.74650        3.84326
 4419.000        3.74394        3.84064
 4422.000        3.74138        3.83801
 4425.000        3.73881        3.83538
 4428.000        3.73624        3.83274
 4431.000        3.73367        3.83010
 4434.000        3.73109        3.82746
 4437.000        3.72851        3.82481
 4440.000        3.72593        3.82216
 4443.000        3.72334        3.81950
 4446.000        3.72074        3.81684
 4449.000        3.71814        3.81418
 4452.000        3.71554        3.81151
 4455.000        3.71294        3.80884
 4458.000        3.71033        3.80616
 4461.000        3.70771        3.80348
 4464.000        3.70510        3.80079
 4467.000        3.70248        3.79811
 4470.000        3.69985        3.79541
 4473.000        3.69722        3.79272
 4476.000        3.69459        3.79001
