ID	SDSS	zspec	gmag	g_r	Ag
183	J153652.13+112350.1	0.1102	18.6	0.3	0.16
184	J154437.57+153955.2	0.1346	19.42	0.68	0.13
185	J154719.90+144401.6	0.0922	19.05	0.49	0.16
186	J155224.88+041726.2	0.0459	17.9	0.59	0.28
187	J155748.58+194013.9	0.0652	17.81	0.72	0.15
188	J155807.98+120413.0	0.0156	13.97	0.59	0.19
189	J160526.67+184149.2	0.1794	18.83	0.63	0.16
190	J160531.85+174826.2	0.0314	18.62	0.71	0.19
191	J160726.51+234027.2	0.0871	18.2	0.92	0.28
192	J160844.10+340754.9	0.1187	18.33	0.82	0.07
193	J160952.36+222319.7	0.2655	19.55	0.68	0.41
194	J161806.96+502343.1	0.0556	18.82	0.6	0.1
195	J161930.05+121729.5	0.1325	18.13	0.78	0.24
196	J162703.95+093748.4	0.1053	19.27	0.62	0.27
197	J163006.60+251356.0	0.2701	19.01	0.57	0.13
198	J163257.50+115040.2	0.0465	16.62	0.62	0.26
199	J163501.46+305412.1	0.0543	16.35	0.58	0.09
200	J163504.96+273809.2	0.0737	18.14	0.63	0.23
201	J163739.22+301012.7	0.1561	19.31	1.01	0.09
202	J171004.93+362605.2	0.1879	19.62	0.6	0.13
203	J171928.54+334138.8	0.0891	18.4	0.67	0.15
204	J233912.48-002010.1	0.167	20.47	0.86	0.12
