agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,True,ECO00800,False,False,False
False,False,False,False,False,False,True,ECO00801,False,False,False
False,False,False,False,False,False,True,ECO00803,False,False,False
False,False,False,False,False,False,True,ECO00805,False,False,False
False,False,False,False,False,False,True,ECO00807,False,False,False
False,False,False,False,False,False,True,ECO00814,False,False,False
False,False,False,False,False,False,True,ECO00824,False,False,False
False,False,False,False,False,False,True,ECO00828,False,False,False
False,False,False,False,False,False,True,ECO00833,False,False,False
False,False,False,False,False,False,True,ECO00838,False,False,False
False,False,False,False,False,False,True,ECO00854,False,False,False
False,False,False,False,False,False,True,ECO00855,False,False,False
False,False,False,False,False,False,False,ECO00856,True,False,True
False,False,False,False,False,False,True,ECO00860,False,False,False
False,False,False,False,False,False,True,ECO00861,False,False,False
False,False,False,False,False,False,False,ECO00864,True,True,False
False,False,False,False,False,False,True,ECO00867,False,False,False
False,False,False,False,False,False,True,ECO00868,False,False,False
False,False,False,False,False,False,True,ECO00869,False,False,False
False,False,False,False,False,False,True,ECO00871,False,False,False
False,False,False,False,False,False,True,ECO00873,False,False,False
False,False,False,False,False,False,False,ECO00877,True,False,True
False,False,False,False,False,False,True,ECO00881,False,False,False
False,False,False,False,False,False,True,ECO00902,False,False,False
False,False,False,False,False,False,True,ECO00912,False,False,False
False,False,False,False,False,False,True,ECO00917,False,False,False
False,False,False,False,False,False,True,ECO00920,False,False,False
False,False,False,False,False,False,True,ECO00926,False,False,False
False,False,False,False,False,False,True,ECO00927,False,False,False
False,False,False,False,False,False,True,ECO00935,False,False,False
False,False,False,False,False,False,True,ECO00942,False,False,False
False,False,False,False,False,False,True,ECO00949,False,False,False
False,False,False,False,False,False,True,ECO00951,False,False,False
False,False,False,False,False,False,True,ECO00954,False,False,False
False,False,False,False,False,False,True,ECO00956,False,False,False
False,False,False,False,False,False,True,ECO00957,False,False,False
False,False,False,False,False,False,True,ECO00968,False,False,False
False,False,False,False,False,False,False,ECO00970,True,False,True
False,False,False,False,False,False,True,ECO00980,False,False,False
False,False,False,False,False,False,True,ECO00984,False,False,False
False,False,False,False,False,False,True,ECO00986,False,False,False
False,False,False,False,False,False,True,ECO00989,False,False,False
False,False,False,False,False,False,True,ECO00990,False,False,False
False,False,False,False,False,False,True,ECO01010,False,False,False
False,False,False,False,False,False,True,ECO01017,False,False,False
False,False,False,False,False,False,True,ECO01019,False,False,False
False,False,False,False,False,False,True,ECO01034,False,False,False
False,False,False,False,False,False,True,ECO01064,False,False,False
False,False,False,False,False,False,True,ECO01114,False,False,False
False,False,False,False,False,False,True,ECO01136,False,False,False
False,False,False,False,False,False,True,ECO01193,False,False,False
False,False,False,False,False,False,True,ECO01218,False,False,False
False,False,False,False,False,False,True,ECO01225,False,False,False
False,False,False,False,False,False,True,ECO01232,False,False,False
False,False,False,False,False,False,False,ECO01241,True,False,True
False,False,False,False,False,False,True,ECO01242,False,False,False
False,False,False,False,False,False,True,ECO01244,False,False,False
False,False,False,False,False,False,True,ECO01247,False,False,False
False,False,False,False,False,False,True,ECO01252,False,False,False
False,False,False,False,False,False,False,ECO01253,True,False,True
False,False,False,False,False,False,True,ECO01259,False,False,False
False,False,False,False,False,False,True,ECO01266,False,False,False
False,False,False,False,False,False,True,ECO01281,False,False,False
False,False,False,False,False,False,False,ECO01299,True,False,True
False,False,False,False,False,False,True,ECO01305,False,False,False
False,False,False,False,False,False,True,ECO01308,False,False,False
False,False,False,False,False,False,True,ECO01310,False,False,False
False,False,False,False,False,False,True,ECO01312,False,False,False
False,False,False,False,False,False,True,ECO01318,False,False,False
False,False,False,False,False,False,False,ECO01321,True,False,True
False,False,False,False,False,False,True,ECO01327,False,False,False
False,False,False,False,False,False,True,ECO01332,False,False,False
False,False,False,False,False,False,True,ECO01333,False,False,False
False,False,False,False,False,False,True,ECO01336,False,False,False
False,False,False,False,False,False,True,ECO01339,False,False,False
False,False,False,False,False,False,True,ECO01343,False,False,False
False,False,False,False,False,False,True,ECO01368,False,False,False
False,False,False,False,False,False,True,ECO01379,False,False,False
False,False,False,False,False,False,True,ECO01394,False,False,False
False,False,False,False,False,False,True,ECO01401,False,False,False
False,False,False,False,False,False,True,ECO01402,False,False,False
False,False,False,False,False,False,True,ECO01404,False,False,False
False,False,False,False,False,False,False,ECO01421,True,False,True
False,False,False,False,False,False,True,ECO01424,False,False,False
False,False,False,False,False,False,True,ECO01439,False,False,False
False,False,False,False,False,False,True,ECO01454,False,False,False
False,False,False,False,False,False,True,ECO01460,False,False,False
False,False,False,False,False,False,True,ECO01464,False,False,False
False,False,False,False,False,False,True,ECO01470,False,False,False
False,False,False,False,False,False,True,ECO01487,False,False,False
False,False,False,False,False,False,True,ECO01499,False,False,False
False,False,False,False,False,False,False,ECO01563,True,True,True
False,False,False,False,False,False,False,ECO01607,True,True,True
False,False,False,False,False,False,True,ECO01636,False,False,False
False,False,False,False,False,False,True,ECO01638,False,False,False
False,False,False,False,False,False,True,ECO01641,False,False,False
False,False,False,False,False,False,True,ECO01655,False,False,False
False,False,False,False,False,False,True,ECO01669,False,False,False
False,False,False,False,False,False,True,ECO01672,False,False,False
False,False,False,False,False,False,False,ECO01674,True,True,True
False,False,False,False,False,False,True,ECO01679,False,False,False
False,False,False,False,False,False,True,ECO01681,False,False,False
False,False,False,False,False,False,True,ECO01690,False,False,False
False,False,False,False,False,False,True,ECO01695,False,False,False
False,False,False,False,False,False,True,ECO01704,False,False,False
False,False,False,False,False,False,True,ECO01707,False,False,False
False,False,False,False,False,False,True,ECO01709,False,False,False
False,False,False,False,False,False,True,ECO01712,False,False,False
False,False,False,False,False,False,True,ECO01713,False,False,False
False,False,False,False,False,False,True,ECO01719,False,False,False
False,False,False,False,False,False,True,ECO01720,False,False,False
False,False,False,False,False,False,True,ECO01723,False,False,False
False,False,False,False,False,False,True,ECO01730,False,False,False
False,False,False,False,False,False,True,ECO01742,False,False,False
False,False,False,False,False,False,True,ECO01751,False,False,False
False,False,False,False,False,False,True,ECO01777,False,False,False
False,False,False,False,False,False,True,ECO01779,False,False,False
False,False,False,False,False,False,True,ECO01782,False,False,False
False,False,False,False,False,False,True,ECO01807,False,False,False
False,False,False,False,False,False,True,ECO01811,False,False,False
False,False,False,False,False,False,True,ECO01852,False,False,False
False,False,False,False,False,False,True,ECO01855,False,False,False
False,False,False,False,False,False,True,ECO01860,False,False,False
False,False,False,False,False,False,True,ECO01861,False,False,False
False,False,False,False,False,False,True,ECO01864,False,False,False
False,False,False,False,False,False,True,ECO01867,False,False,False
False,False,False,False,False,False,True,ECO01868,False,False,False
False,False,False,False,False,False,True,ECO01870,False,False,False
False,False,False,False,False,False,True,ECO01871,False,False,False
False,False,False,False,False,False,True,ECO01872,False,False,False
False,False,False,False,False,False,True,ECO01875,False,False,False
False,False,False,False,False,False,True,ECO01876,False,False,False
False,False,False,False,False,False,False,ECO01882,True,False,True
False,False,False,False,False,False,False,ECO01913,True,True,False
False,False,False,False,False,False,False,ECO01928,True,False,True
False,False,False,False,False,False,True,ECO01938,False,False,False
False,False,False,False,False,False,True,ECO01951,False,False,False
False,False,False,False,False,False,True,ECO01954,False,False,False
False,False,False,False,False,False,True,ECO01957,False,False,False
False,False,False,False,False,False,True,ECO01987,False,False,False
False,False,False,False,False,False,True,ECO01988,False,False,False
False,False,False,False,False,False,True,ECO01990,False,False,False
False,False,False,False,False,False,False,ECO01997,True,False,True
False,False,False,False,False,False,True,ECO02005,False,False,False
False,False,False,False,False,False,True,ECO02007,False,False,False
False,False,False,False,False,False,True,ECO02016,False,False,False
False,False,False,False,False,False,True,ECO02018,False,False,False
False,False,False,False,False,False,True,ECO02021,False,False,False
False,False,False,False,False,False,True,ECO02024,False,False,False
