Wavelength,A_lambda/tau1,Al_Ebv
4011,4.06382,4.16878
4014,4.0615,4.1664
4017,4.05919,4.16403
4020,4.05687,4.16166
4023,4.05457,4.15929
4026,4.05226,4.15692
4029,4.04996,4.15456
4032,4.04766,4.1522
4035,4.04536,4.14985
4038,4.04307,4.1475
4041,4.04078,4.14515
4044,4.03849,4.1428
4047,4.03621,4.14046
4050,4.03392,4.13811
4053,4.03164,4.13578
4056,4.02937,4.13344
4059,4.02709,4.1311
4062,4.02481,4.12877
4065,4.02254,4.12644
4068,4.02027,4.12411
4071,4.018,4.12178
4074,4.01573,4.11945
4077,4.01347,4.11713
4080,4.0112,4.1148
4083,4.00893,4.11248
4086,4.00667,4.11016
4089,4.00441,4.10783
4092,4.00215,4.10551
4095,3.99988,4.10319
4098,3.99762,4.10087
4101,3.99536,4.09856
4104,3.9931,4.09624
4107,3.99084,4.09392
4110,3.98858,4.0916
4113,3.98632,4.08928
4116,3.98406,4.08696
4119,3.9818,4.08465
4122,3.97954,4.08233
4125,3.97728,4.08001
4128,3.97502,4.07769
4131,3.97276,4.07537
4134,3.9705,4.07305
4137,3.96823,4.07073
4140,3.96597,4.06841
4143,3.96371,4.06608
4146,3.96144,4.06376
4149,3.95917,4.06143
4152,3.95691,4.05911
4155,3.95464,4.05678
4158,3.95237,4.05445
4161,3.9501,4.05212
4164,3.94782,4.04979
4167,3.94555,4.04746
4170,3.94327,4.04512
4173,3.941,4.04279
4176,3.93872,4.04045
4179,3.93644,4.03811
4182,3.93415,4.03577
4185,3.93187,4.03342
4188,3.92958,4.03108
4191,3.92729,4.02873
4194,3.925,4.02638
4197,3.92271,4.02403
4200,3.92041,4.02167
4203,3.91812,4.01932
4206,3.91582,4.01696
4209,3.91351,4.01459
4212,3.91121,4.01223
4215,3.9089,4.00986
4218,3.90659,4.00749
4221,3.90428,4.00512
4224,3.90196,4.00275
4227,3.89965,4.00037
4230,3.89733,3.99799
4233,3.895,3.9956
4236,3.89267,3.99322
4239,3.89034,3.99083
4242,3.88801,3.98843
4245,3.88568,3.98604
4248,3.88334,3.98364
4251,3.881,3.98124
4254,3.87865,3.97883
4257,3.8763,3.97642
4260,3.87395,3.97401
4263,3.87159,3.97159
4266,3.86924,3.96917
4269,3.86687,3.96675
4272,3.86451,3.96432
4275,3.86214,3.96189
4278,3.85977,3.95946
4281,3.85739,3.95702
4284,3.85501,3.95458
4287,3.85263,3.95214
4290,3.85025,3.94969
4293,3.84786,3.94724
