name,bptagn,nontrad,unclassified,composite,sf
ECO02152,False,False,False,False,True
ECO02154,False,False,False,False,True
ECO02155,False,False,False,False,True
ECO02157,False,False,False,False,True
ECO02159,False,False,False,False,True
ECO02160,False,False,False,False,True
ECO02162,False,False,False,False,True
ECO02164,False,False,False,False,True
ECO02165,False,False,False,False,True
ECO02167,False,False,False,False,True
ECO02168,False,False,False,False,True
ECO02169,False,False,False,False,True
ECO02170,False,False,False,False,True
ECO02179,False,False,False,False,True
ECO02182,False,False,False,False,True
ECO02186,False,False,False,False,True
ECO02187,False,False,False,False,True
ECO02189,False,False,False,False,True
ECO02192,False,False,True,True,False
ECO02196,False,False,False,False,True
ECO02198,False,False,False,False,True
ECO02199,False,False,False,False,True
ECO02206,False,False,False,False,True
ECO02207,False,False,False,False,True
ECO02208,False,False,False,False,True
ECO02212,False,False,False,False,True
ECO02215,False,False,False,False,True
ECO02216,False,False,False,False,True
ECO02223,False,False,False,False,True
ECO02224,False,True,False,False,True
ECO02226,False,False,False,False,True
ECO02227,False,False,False,False,True
ECO02228,False,False,False,False,True
ECO02229,False,False,False,False,True
ECO02235,False,False,False,False,True
ECO02237,False,False,False,False,True
ECO02240,False,False,False,False,True
ECO02242,False,False,False,False,True
ECO02246,False,False,False,False,True
ECO02251,False,False,True,True,False
ECO02253,False,False,False,False,True
ECO02255,False,False,False,False,True
ECO02258,False,False,False,False,True
ECO02260,False,False,False,False,True
ECO02263,False,False,False,False,True
ECO02264,False,False,False,False,True
ECO02268,False,False,False,False,True
ECO02269,False,False,False,False,True
ECO02270,False,False,False,False,True
ECO02274,False,False,False,False,True
ECO02278,False,False,False,False,True
ECO02279,False,False,False,False,True
ECO02280,False,False,False,False,True
ECO02287,False,False,False,False,True
ECO02289,False,False,False,False,True
ECO02291,False,False,False,False,True
ECO02292,False,False,False,False,True
ECO02293,False,False,False,False,True
ECO02295,False,False,False,False,True
ECO02296,False,True,False,False,True
ECO02297,False,False,False,False,True
ECO02298,False,False,False,False,True
ECO02299,False,False,False,False,True
ECO02300,False,False,False,False,True
ECO02302,False,False,True,True,False
ECO02306,False,False,False,False,True
ECO02308,False,False,False,False,True
ECO02310,False,False,False,False,True
ECO02311,False,False,False,False,True
ECO02312,False,False,False,False,True
ECO02313,False,False,False,False,True
ECO02317,False,False,False,False,True
ECO02318,False,False,False,False,True
ECO02321,False,False,False,False,True
ECO02323,True,False,True,False,False
ECO02326,False,False,False,False,True
ECO02328,False,False,False,False,True
ECO02329,False,False,False,False,True
ECO02330,False,False,False,False,True
ECO02331,False,False,False,False,True
ECO02332,False,False,True,True,False
ECO02333,False,False,False,False,True
ECO02335,False,False,False,False,True
ECO02336,False,False,False,False,True
ECO02337,False,False,False,False,True
ECO02341,False,False,True,True,False
ECO02342,False,False,False,False,True
ECO02346,False,False,False,False,True
ECO02348,False,False,False,False,True
ECO02349,False,True,False,False,True
ECO02351,False,False,False,False,True
ECO02352,False,False,False,False,True
ECO02354,False,True,False,False,True
ECO02355,False,False,False,False,True
ECO02356,False,False,False,False,True
ECO02359,False,False,False,False,True
ECO02360,False,False,False,False,True
ECO02361,False,False,False,False,True
ECO02365,False,False,False,False,True
ECO02366,False,False,True,True,False
ECO02367,False,False,False,False,True
ECO02369,False,False,False,False,True
ECO02371,False,False,False,False,True
ECO02373,False,True,False,False,True
ECO02374,False,False,True,True,False
ECO02375,False,False,False,False,True
ECO02376,False,False,False,False,True
ECO02378,False,False,False,False,True
ECO02379,False,False,False,False,True
ECO02382,False,False,False,False,True
ECO02383,False,False,False,False,True
ECO02384,False,False,False,False,True
ECO02387,False,False,False,False,True
ECO02389,False,False,False,False,True
ECO02390,False,False,False,False,True
ECO02391,False,False,False,False,True
ECO02392,False,False,False,False,True
ECO02394,False,True,False,False,True
ECO02395,False,False,False,False,True
ECO02398,False,False,False,False,True
ECO02399,False,False,True,True,False
ECO02400,False,False,False,False,True
ECO02402,False,False,False,False,True
ECO02406,False,False,False,False,True
ECO02408,False,False,False,False,True
ECO02409,False,False,False,False,True
ECO02410,False,False,True,True,False
ECO02414,False,False,False,False,True
ECO02417,False,False,False,False,True
ECO02418,False,False,False,False,True
ECO02424,False,False,False,False,True
ECO02426,False,False,False,False,True
ECO02429,False,False,False,False,True
ECO02430,False,False,True,True,False
ECO02432,False,False,False,False,True
ECO02433,False,False,False,False,True
ECO02435,False,False,False,False,True
ECO02439,False,False,False,False,True
ECO02443,False,False,False,False,True
ECO02445,False,False,False,False,True
ECO02451,False,False,False,False,True
ECO02452,False,False,False,False,True
ECO02455,True,False,True,False,False
ECO02457,False,False,False,False,True
ECO02458,False,False,False,False,True
ECO02459,False,False,False,False,True
ECO02464,False,False,False,False,True
ECO02465,False,False,False,False,True
ECO02466,False,False,True,True,False
ECO02467,False,False,False,False,True
ECO02469,False,False,False,False,True
ECO02470,False,False,False,False,True
ECO02475,False,False,False,False,True
ECO02476,False,False,False,False,True
ECO02481,False,False,False,False,True
ECO02485,False,False,False,False,True
ECO02488,False,False,True,True,False
ECO02489,False,False,False,False,True
ECO02490,False,False,False,False,True
ECO02491,False,False,False,False,True
ECO02492,False,False,False,False,True
ECO02495,False,False,False,False,True
ECO02504,False,False,False,False,True
ECO02505,False,False,False,False,True
ECO02506,False,False,False,False,True
ECO02514,False,False,False,False,True
ECO02521,False,False,False,False,True
ECO02525,False,False,False,False,True
ECO02529,False,False,False,False,True
ECO02532,False,False,False,False,True
ECO02534,False,False,False,False,True
ECO02538,False,False,False,False,True
ECO02542,False,False,False,False,True
ECO02545,False,False,False,False,True
ECO02546,False,False,False,False,True
