#ID SDSSID RA DEG z Plate MJD Fiber nspec
  115 J003157.43+001837.9   7.9892906    0.31052365   0.22038     391 51782 590 1
  116 J003238.20-010035.2   8.1591686   -1.009781     0.0918914   392 51793 297 1
  117 J003258.53+141507.9   8.2438642   14.2522       0.100508    418 51817 281 1
  118 J003319.52-101924.1   8.3313528  -10.323351     0.259192    654 52146 143 1
  119 J003321.77+141626.5   8.340729    14.274034     0.300153    417 51821  57 1
  120 J003418.27-085900.6   8.5761074   -8.9835095    0.157326    654 52146 567 1
  121 J003503.23-003037.5   8.7634725   -0.51042233   0.186255    392 51793 188 1
  122 J003511.48-004918.1   8.7978388   -0.82169064   0.185981    392 51793 220 1
  123 J003542.68+004735.0   8.927842     0.79306411   0.14893     392 51793 446 1
  124 J003646.45+145936.9   9.1935464   14.993574     0.0892226   418 51817 194 1
  125 J003657.18-100810.6   9.238264   -10.136268     0.187686    655 52162 315 1
  126 J003659.78+010544.4   9.2490674    1.0956774    0.121068    392 51793 580 1
  127 J003711.00+002128.0   9.2958272    0.3577669    0.235158    392 51793 496 1
  128 J003723.50+000812.6   9.3479097    0.13683074   0.251668    392 51793 520 1
  129 J003755.93+134325.0   9.4830569   13.72361      0.220773    418 51817 130 1
  130 J003803.51+145057.4   9.5146449   14.849277     0.138821    418 51817 180 1
  131 J003847.82-011212.2   9.6992708   -1.2034008    0.303713    392 51793  49 1
  132 J003847.97+003457.4   9.6998581    0.58262222   0.080524    392 51793 558 1
  133 J003855.16+161032.6   9.7298266   16.175729     0.155669    418 51817 523 1
  134 J003916.41-003232.8   9.8183825   -0.54245296   0.109866    393 51794 301 1
  135 J004038.40+160949.9  10.160011    16.16387      0.29368     418 51817 566 1
  136 J004042.10-110957.6  10.175425   -11.166005     0.0274518   655 52162  89 1
  137 J004055.89+153349.2  10.232872    15.563668     0.0987951   418 51817 502 1
  138 J004213.47+005917.7  10.556133     0.98825291   0.328869    393 51794 369 1
  139 J004214.71+153148.2  10.56129     15.530053     0.316244    419 51879 426 2
  140 J004236.86-104921.9  10.65359    -10.822742     0.0418924   655 52162  58 1
  141 J004241.91+150926.1  10.674636    15.157257     0.101336    418 51817 595 1
  142 J004252.31+002730.1  10.717978     0.458368     0.19548    1905 53613 462 2
  143 J004311.60-093816.0  10.798353    -9.6377825    0.054212    655 52162 639 1
  144 J004319.75+005115.3  10.832272     0.85425062   0.308341    393 51794 407 1
  145 J004335.97+001456.0  10.899868     0.24888482   0.108575    393 51794 477 1
  146 J004356.72-003655.3  10.986351    -0.61536941   0.145967    393 51794 168 1
  147 J004400.75-084916.4  11.003136    -8.8212097    0.203927    656 52148 372 1
  148 J004404.98+154842.7  11.020765    15.811855     0.0802337   419 51879 458 1
  149 J004409.04+011130.1  11.037673     1.1917023    0.119007    393 51794 459 1
  150 J004409.92+161045.3  11.041317    16.17925      0.278167    419 51879 446 1
  151 J004413.76-105718.9  11.057315   -10.955253     0.125964    656 52148 247 1
  152 J004447.33+152911.8  11.19722     15.486619     0.227215    419 51879 488 1
  153 J004458.67+004319.9  11.244478     0.72219575   0.349953    393 51794 488 1
  154 J004508.65+152542.1  11.28606     15.428351     0.07917     419 51879 492 2
  155 J004524.72+144245.9  11.353011    14.71275      0.195343    419 51879 141 1
  156 J004527.06+004237.7  11.362743     0.71046868   0.109561    393 51794 504 1
  157 J004529.15+133908.7  11.37146     13.65242      0.295263    419 51879 137 1
  158 J004533.47-005808.9  11.389444    -0.9691345    0.137662    393 51794  90 1
  159 J004551.47+155547.7  11.464463    15.929924     0.114567    419 51879 529 1
  160 J004629.11-085848.0  11.621274    -8.9799939    0.175227    656 52148 454 1
  161 J004640.00+002129.2  11.666654     0.358105     0.115646   1084 52591 397 1
  162 J004719.40+144212.6  11.830816    14.703501     0.0390628   420 51871 314 1
  163 J004741.47+004129.5  11.922772     0.69153811   0.132695    394 51913 332 1
  164 J004742.58-004249.8  11.927425    -0.71382741   0.14727     393 51794  25 2
  165 J004743.93-094641.2  11.933054    -9.7781081    0.100097    656 52148 115 1
  166 J004750.02-102947.7  11.958407   -10.496594     0.131658    656 52148 102 1
  167 J004809.94+151454.5  12.041425    15.248486     0.114579    420 51871 343 1
  168 J004845.85+142629.3  12.191028    14.441481     0.277626    420 51871 305 1
  169 J004852.38-094218.1  12.21827     -9.7050258    0.15339     656 52148 598 1
  170 J004923.32-001027.8  12.347149    -0.17440258   0.206326    394 51913 275 1
  171 J004930.90+153216.4  12.378754    15.53788      0.239558    420 51871 397 1
  172 J004944.53-002300.6  12.435522    -0.38350744   0.116431    394 51913 270 1
  173 J004950.54+144155.8  12.460565    14.69882      0.182917    419 51879  37 1
  174 J005022.54+000927.8  12.593932     0.15770911   0.134502    394 51913 429 3
  175 J005023.48+143954.0  12.597848    14.664995     0.236533    420 51871 276 1
  176 J005028.05-092053.7  12.616888    -9.3482391    0.166478    656 52148 587 1
  177 J005057.47+143753.9  12.739456    14.631633     0.278532    420 51871 225 1
  178 J005118.28+135448.1  12.826157    13.91336      0.137748    420 51871 248 1
  179 J005125.77-102644.7  12.857375   -10.445747     0.0548401   657 52177 270 1
  180 J005200.57+003549.4  13.002361     0.59704389   0.114158    394 51913 465 1
  181 J005206.45+160548.1  13.02686     16.096702     0.258274    420 51871 459 1
  182 J005226.95+145359.8  13.112311    14.899952     0.238273    420 51871 194 1
  183 J005231.07+005505.3  13.129456     0.91813949   0.20369     394 51913 535 1
  184 J005303.10-001046.8  13.262922    -0.17965537   0.138224    394 51913 161 1
  185 J005309.06+003039.9  13.287731     0.51108163   0.235996    394 51913 497 1
  186 J005309.33+143823.5  13.288886    14.639867     0.181716    420 51871 180 1
  187 J005312.69-084809.7  13.302866    -8.8027065    0.078746    657 52177 411 1
  188 J005327.72-091716.0  13.365485    -9.2877896    0.214718    657 52177 484 1
  189 J005328.81-085755.1  13.370031    -8.9653037    0.258988    657 52177 457 1
  190 J005355.06-105528.5  13.4794     -10.924586     0.0802147   657 52177 204 1
  191 J005359.66-100707.4  13.498565   -10.118734     0.119781    657 52177 198 1
