#name     Ra     Dec
ECO07281 187.717  0.527  
ECO02084 187.720  1.821  
ECO03604 187.730  3.492  
ECO09469 187.740 38.274  
ECO01171 187.744  0.651  
ECO12572 187.748 25.562  
ECO07282 187.748  0.542  
ECO03606 187.777  4.588  
ECO06011 187.781  0.463  
ECO03609 187.782 36.619  
ECO03607 187.785  0.614  
ECO10818 187.790 44.713  
ECO03608 187.796  0.606  
ECO06970 187.807  1.513  
ECO07017 187.812 14.197  
ECO00797 187.829 27.450  
ECO07018 187.833 14.195  
ECO06811 187.836  3.125  
ECO07127 187.836 36.574  
ECO01462 187.836 27.529  
ECO01464 187.838 32.324  
ECO07251 187.840  0.240  
ECO07288 187.842  0.610  
ECO06012 187.845 16.885  
ECO03610 187.845 29.136  
ECO12577 187.846 25.914  
ECO06760 187.853 26.796  
ECO09382 187.855 36.826  
ECO07128 187.856 29.186  
ECO02171 187.879 46.535  
ECO12399 187.886  7.306  
ECO03611 187.894 37.980  
ECO00283 187.903  1.348  
ECO06013 187.911 27.496  
ECO03612 187.920  3.926  
ECO07328 187.922  0.959  
ECO07361 187.922  1.306  
ECO10616 187.933 26.800  
ECO01465 187.938  0.512  
ECO11082 187.939 27.149  
ECO07274 187.940  0.453  
ECO00798 187.945 40.405  
ECO07008 187.948 34.267  
ECO12578 187.948 25.988  
ECO06014 187.960 27.387  
ECO02159 187.979 19.108  
ECO06877 187.988  3.889  
ECO09676 188.008 42.548  
ECO06016 188.009 46.347  
ECO00470 188.009 49.632  
ECO01466 188.021 35.680  
ECO00546 188.037 30.715  
ECO10015 188.065 37.528  
ECO10617 188.072 27.291  
ECO12560 188.078 24.728  
ECO09360 188.084 36.514  
ECO03613 188.102 11.788  
ECO07277 188.107  0.457  
ECO00660 188.107 39.590  
ECO11665 188.120 39.590  
ECO02702 188.140 18.473  
ECO07001 188.142 14.580  
ECO03614 188.145 45.768  
ECO10353 188.148 11.116  
ECO10819 188.165  9.795  
ECO01467 188.171 14.695  
ECO06017 188.184 39.524  
ECO01468 188.184  7.939  
ECO10928 188.186 11.322  
ECO02168 188.188 21.024  
ECO00799 188.189 11.387  
ECO10618 188.195 11.550  
ECO12055 188.203 36.274  
ECO03615 188.208  3.300  
ECO00800 188.218 33.133  
ECO03617 188.218 11.404  
ECO06018 188.235 32.142  
ECO06019 188.236 11.390  
ECO07186 188.249 -0.700  
ECO06753 188.260 39.420  
ECO11083 188.270 27.299  
ECO09859 188.280 46.667  
ECO06021 188.285 26.350  
ECO06020 188.290  9.253  
ECO11349 188.294 31.143  
ECO03618 188.294  7.834  
ECO03619 188.299  7.852  
ECO10821 188.307 11.175  
ECO08736 188.307 27.584  
ECO11084 188.334 27.451  
ECO01469 188.337 11.352  
ECO07003 188.338 13.226  
ECO06022 188.346 46.627  
ECO09781 188.349 44.541  
ECO03620 188.356 13.233  
ECO06754 188.367 40.828  
ECO06715 188.371 26.738  
ECO06716 188.375 26.780  
ECO06023 188.408 49.121  
ECO00338 188.409 29.451  
ECO00178 188.419  7.839  
ECO11085 188.427 26.618  
ECO03621 188.457 13.963  
ECO06024 188.460 39.520  
ECO09548 188.468 39.263  
ECO06025 188.506 46.989  
ECO03623 188.513 43.416  
ECO06027 188.522 38.668  
ECO12503 188.525 22.803  
ECO03622 188.537 -0.356  
ECO12104 188.547 35.613  
ECO08873 188.548 28.874  
ECO12412 188.558  8.274  
ECO08764 188.567 27.862  
ECO11859 188.572 27.452  
ECO12561 188.584 24.600  
ECO12065 188.585 36.512  
ECO11279 188.607 26.935  
ECO06720 188.610 26.885  
ECO11470 188.641 26.658  
ECO06028 188.648 42.438  
ECO03625 188.670 44.396  
ECO03624 188.670  3.324  
ECO10930 188.674 11.627  
ECO06029 188.681 46.958  
ECO07263 188.687  0.367  
ECO06031 188.694 39.588  
ECO06030 188.695  3.010  
ECO09524 188.706 38.892  
ECO00801 188.717  1.883  
ECO10476 188.717 47.376  
ECO01869 188.718 26.175  
ECO10619 188.736 26.627  
ECO07233 188.759  0.038  
ECO11086 188.764 27.080  
ECO08672 188.781 26.909  
ECO06824 188.787 28.056  
ECO11324 188.795 -0.221  
ECO03626 188.799 34.122  
ECO06032 188.802 26.533  
ECO11087 188.805 26.496  
ECO10620 188.809 26.472  
ECO12363 188.810  7.137  
ECO00209 188.812 24.549  
ECO03628 188.825  6.543  
ECO01870 188.829 23.026  
ECO01470 188.833 39.519  
ECO07219 188.834 -0.179  
ECO10621 188.845 26.577  
ECO03629 188.850 29.492  
ECO08624 188.883 26.451  
ECO01871 188.888 17.440  
ECO08639 188.900 26.567  
ECO03630 188.912 -0.206  
ECO08636 188.915 26.549  
ECO08645 188.919 26.643  
ECO08706 188.920 27.205  
ECO03632 188.922 26.523  
ECO06033 188.922 26.286  
ECO08628 188.922 26.483  
ECO03633 188.924 26.222  
ECO03631 188.927 -0.215  
ECO05079 188.932 -0.224  
ECO08712 188.933 27.281  
ECO10622 188.933 26.577  
ECO03634 188.941 26.909  
ECO08659 188.948 26.755  
ECO03635 188.966 38.376  
ECO08664 188.978 26.819  
ECO10623 188.982 26.422  
ECO00602 188.983 39.493  
ECO12270 188.994 26.966  
ECO10051 189.016 27.078  
ECO10053 189.020 26.596  
ECO09887 189.025 47.302  
ECO05147 189.032 46.643  
ECO12378 189.038  7.535  
ECO06034 189.042  5.086  
ECO08660 189.051 26.756  
ECO11088 189.052 26.467  
ECO06035 189.054 26.941  
ECO10150 189.058 -0.276  
ECO08753 189.078 27.754  
ECO11089 189.094 26.937  
ECO08691 189.099 27.032  
ECO12121 189.108 34.568  
ECO03637 189.125 32.080  
ECO08602 189.125 26.249  
ECO03636 189.127 26.200  
ECO07250 189.127  0.221  
ECO02594 189.132 19.665  
ECO08600 189.154 26.235  
ECO03639 189.159 24.429  
ECO06782 189.162 40.265  
ECO03640 189.167 26.830  
ECO01872 189.181 26.113  
ECO08697 189.182 27.076  
ECO06036 189.191 27.567  
ECO03641 189.192 32.116  
ECO11860 189.202 27.549  
ECO08711 189.211 27.278  
ECO06755 189.221 40.132  
ECO07004 189.238 10.430  
ECO03642 189.247 40.348  
ECO11090 189.253 27.360  
ECO07005 189.264 10.413  
ECO12098 189.291 34.399  
ECO09742 189.313 43.563  
ECO01471 189.314 27.533  
ECO06038 189.315 39.483  
ECO01472 189.316 36.458  
ECO07844 189.325  9.536  
ECO12553 189.353 23.864  
ECO10822 189.380  3.385  
ECO03643 189.390  4.368  
ECO12135 189.390 35.961  
ECO11465 189.402  1.589  
ECO10030 189.403 33.615  
ECO03644 189.421 27.129  
ECO06039 189.422 26.708  
ECO03645 189.425 32.088  
ECO06825 189.429 27.915  
ECO12151 189.435 33.619  
ECO01473 189.440 27.931  
ECO00080 189.443 26.299  
ECO10354 189.444  9.869  
ECO12502 189.445 23.650  
ECO11091 189.445 36.170  
ECO06826 189.462 28.000  
ECO06646 189.481 27.628  
ECO03646 189.481 34.022  
ECO06756 189.489 38.316  
ECO02843 189.492 20.346  
ECO12152 189.498 33.558  
ECO06042 189.504 34.025  
ECO06647 189.508 27.614  
ECO06040 189.512 41.300  
ECO10477 189.515 47.576  
ECO03648 189.519 33.459  
ECO03647 189.523 -0.027  
ECO12485 189.529 22.314  
ECO06041 189.532 22.699  
ECO09557 189.551 39.486  
ECO12568 189.552 25.411  
ECO00081 189.553 26.492  
ECO03650 189.555 28.937  
ECO11252 189.555 28.937  
ECO10823 189.560 10.164  
ECO01475 189.566 35.388  
ECO06648 189.592  1.679  
ECO07888 189.603 10.633  
ECO01124 189.606  1.784  
ECO08833 189.613 28.480  
ECO01476 189.615 29.436  
ECO03651 189.620  1.754  
ECO00082 189.621 26.374  
ECO06043 189.628 31.884  
ECO01477 189.633 31.938  
ECO03652 189.652  1.399  
ECO03653 189.655 10.476  
ECO12072 189.667 36.896  
ECO07129 189.685 32.018  
ECO11093 189.685 27.718  
ECO03654 189.689  6.768  
ECO06649 189.690 31.880  
ECO10478 189.691 42.737  
ECO06044 189.694  0.323  
ECO08872 189.698 28.842  
ECO03656 189.700 32.092  
ECO05063 189.701  0.270  
ECO03657 189.703 31.985  
ECO00567 189.706 29.972  
ECO03655 189.720  7.115  
ECO11501 189.743 27.564  
ECO09902 189.754 47.735  
ECO03658 189.755  0.366  
ECO03659 189.767 13.364  
ECO08674 189.773 26.914  
ECO07256 189.773  0.283  
ECO03661 189.783 30.407  
ECO12605 189.783 18.869  
ECO01478 189.785 33.548  
ECO03660 189.798  0.717  
ECO06045 189.798 28.005  
ECO12162 189.811 33.358  
ECO01121 189.814  0.292  
ECO02703 189.820 18.358  
ECO03662 189.822 26.678  
ECO06047 189.825 27.909  
ECO06046 189.827 31.990  
ECO03663 189.829 27.774  
ECO06049 189.844  0.460  
ECO01479 189.846  7.141  
ECO06727 189.850 18.365  
ECO03664 189.865 27.102  
ECO00083 189.867 26.672  
ECO03666 189.890 47.623  
ECO11325 189.892 -0.854  
ECO03665 189.913  7.169  
ECO11094 189.915 29.610  
ECO12563 189.922 25.039  
ECO06050 189.934 14.870  
ECO09674 189.935 42.489  
ECO08760 189.937 27.827  
ECO07319 189.941  0.898  
ECO12396 189.943  6.890  
ECO01873 189.949 24.173  
ECO03667 189.950 12.974  
ECO09825 189.958 45.933  
ECO06650 189.969  0.126  
ECO11095 189.977 29.662  
ECO06051 189.980 27.827  
ECO00267 189.980 -0.800  
